sample_id,source_text,reference_translation,fp32_translation,int8_translation,fp32_output_tokens,int8_output_tokens,delta_output_tokens,fp32_chrf,int8_chrf,delta_chrf,seq_loss_hyp,length_group
common_voice_de_19948040,"Ignatius von Loyola, der das Buch der „Constitutiones Societatis Jesu“ in den Händen hält.","Ignatius von Loyola, who holds the ‘‘Constitutiones Societatis Jesu’’ in his hands.","Ignatius of Loyola, who holds the book of the Constitutiones Societatis Jesu.","Ignatius of Loyola, who holds the book of the ""Constitutiones Societatis Jesu"" in his hands.",27,34,-7,62.48258422698045,73.90406455731211,-11.421480330331661,0.4833557903766632,FP32 shorter
common_voice_de_19165204,"Dabei ist mindestens eine Wasserstraße ein künstliches Gewässer, also ein Kanal.",At least one waterway is an artificial body of water or a canal.,"At least one waterway is an artificial water, a canal.","Thereby at least one waterway is an artificial water, i.e. a canal.",14,20,-6,74.74760937589393,68.87563720837868,5.871972167515253,0.46154794096946716,FP32 shorter
common_voice_de_19949817,Damit sei dieser nicht beim Namen genannte Führer „in den Blutstrom der Vergangenheit“ eingetaucht.,"This leader, who is not mentioned by name, is thus immersed ""in the bloodstream of the past"".","Thus, this not named leader ""is immersed in the bloodstream of the past.""","In doing so, the leader, not named by the name, was ""immersed in the bloodstream of the past.""",19,28,-9,51.64506346205039,52.75205580323205,-1.106992341181659,0.7048525810241699,FP32 shorter
common_voice_de_19727939,Ihr Erfolg ist nicht zuletzt auf Hồ Chí Minh zurückzuführen.,Their success can also be traced back to Hồ Chí Minh.,==References====External links==*Official website,Her success is due not least to H: Chí Minh.,10,16,-6,8.336907453741079,33.642709846680816,-25.30580239293974,0.8083286881446838,FP32 shorter
common_voice_de_19144634,"Hier wurde er zumeist nur eingewechselt, weswegen er auch fünfmal für das Reserveteam auflief.","Here he was mainly only substitute, which is why he played five times for the reserve team.",==References====External links==*Official website*Official website*Official website,==References====External links==*BDFutbol profile*BDFutbol profile,16,19,-3,9.263548819306111,7.427697989092024,1.8358508302140875,0.7242900729179382,FP32 shorter
common_voice_de_19291812,Ein solcher Beschluss bedarf einer Mehrheit von zwei Dritteln der stimmberechtigten Mitglieder des Stadtrats.,Such a resolution needs to be approved by two thirds of the voting members of the city council.,Such a decision shall require a majority of two thirds of the members of the City Council entitled to vote.,Such a decision shall require a majority of two-thirds of the members of the City Council who are entitled to vote.,24,27,-3,45.17280618023432,40.386343903011245,4.786462277223073,0.3919105529785156,FP32 shorter
common_voice_de_19963712,Sie beauftragten den Regisseur Zoran Bihać mit einem Nachdreh.,They hired Zoran Bihac for a re-shoot.,They commissioned director Zoran Bihać with a remake.,They commissioned the director Zoran Bihać with a follow-up film.,15,18,-3,33.51811023340923,31.659995297419158,1.8581149359900735,0.4843059480190277,FP32 shorter
common_voice_de_19585970,Bei dieser Wahl wurde die Funktionsperiode des Präsidenten von vier auf fünf Jahre verlängert.,"During this election, the president’s term in office was extended from four to five years.",The President's term of office was extended from four to five years.,"During this election, the President's term of office was extended from four to five years.",17,21,-4,60.61514355287314,83.54178557443466,-22.926642021561513,0.4381728172302246,FP32 shorter
common_voice_de_19762348,An zweiter Stelle beim Umsatz stehen die Erntemaschinen.,Harvesting machines are in second place in terms of sales.,Harvesting machines are second in terms of turnover.,Harvesting machines are the second most important in terms of turnover.,12,15,-3,62.23205477981322,59.55098191794536,2.681072861867861,0.8234631419181824,FP32 shorter
common_voice_de_18219069,Heute hat der Kahn aber ordentlich Seegang!,The boat can enter the sea today!,Today the barge has a lot of sea!,Today the barge has a lot of sea-goingness!,12,15,-3,21.321415168130432,20.809247477306894,0.5121676908235386,1.0625989437103271,FP32 shorter
common_voice_de_19658344,Əlizadə studierte am Konservatorium von Baku Klavier und Komposition.,Elizade studied piano and composition at the Baku Conservatory.,He studied piano and composition at the Baku Conservatory.,He studied piano and composition at the conservatory of Baku.,12,15,-3,90.09744315757938,74.0299015459858,16.067541611593583,0.47665295004844666,FP32 shorter
common_voice_de_18998787,"Freitag der dreizehnte ist ein Tag, an dem man besser zu Hause bleibt.",Friday the thirteenth is a day better spent at home.,Friday's the thirteenth is a day to stay at home.,Friday's the thirteenth is a day when you'd better stay at home.,16,20,-4,64.44082334649501,69.2606425540689,-4.819819207573886,0.5397176742553711,FP32 shorter
common_voice_de_19207287,Tatsächlich sind aber nur sehr wenige historisch belegbare Fakten über sein Wirken bekannt.,"In fact, there are very few historically verifiable facts known about his work.","In fact, very few historical facts about his work are known.","In fact, only very few historically verifiable facts about his work are known.",15,18,-3,57.15524895987346,75.94662415950842,-18.791375199634956,0.5177197456359863,FP32 shorter
